ID_Caso,Tipo,Descripcion,Resultado_Esperado,Vx11,Vx42,Vx53,Vx55,Vx59,Vx87,Vx88,Vx89,Vx118,Vx128,Vx136,Vx145,Vx146,Vx148,Vx156,Vx201,Vx357,Vx358,Vx381,Vx382,Vx599,Vx653,Vx1259,Vx1260,Vx1321,Vx1322,Vx1576,Vx1577,Vx1578,Vx1579,Vx1580,Vx1804,Vx1930,Vx1931,Vx2420,Vx2424,Vx2830,Vx2831,Vx2832,Vx2833,Vx2836,Vx2837,Vx2946,Vx2947,Vx2948,Vx2949,Vx2956,Vx3196,Vx3197,Vx3600,Vx3663,Vx3664,Vx3665,Vx3666,Vx3675,Vx3676,Vx3677,Vx3678,Vx3679,Vx3680,Vx3682,Vx3683,Vx3684,Vx3685,Vx3688,Vx3691,Vx3692,Vx3693,Vx3694,Vx3710,Vx3719,Vx3720,Vx3721,Vx3722,Vx3731,Vx3732,Vx3733,Vx3734,Vx3735,Vx3736,Vx3738,Vx3739,Vx3740,Vx3741,Vx3744,Vx4051,Vx4052,Vx4053,Vx4054,Vx4062,Vx4063,Vx4064,Vx4065,Vx4079,Vx4080,Vx4081,Vx4082,Vx4083,Vx4084,Vx4086,Vx4087,Vx4088,Vx4089,Vx4092,Vx4447,Vx4450,Vx4451,Vx4684,[1001],[1002],[1003],[1004],[1005],[101],[1017],[1018],[1019],[102],[1020],[1021],[1024],[1025],[1026],[1027],[1030],[1031],[1032],[1033],[1035],[1036],[1039],[104],[1041],[1042],[1044],[105],[1051],[1052],[1055],[1056],[1057],[1058],[106],[1060],[1061],[1062],[1063],[1064],[1065],[1066],[108],[1096],[1097],[1098],[1099],[110],[1100],[1101],[1104],[1105],[1106],[1113],[1114],[1120],[1121],[1122],[1123],[1124],[114],[1184],[1191],[1192],[1193],[1194],[1195],[1196],[1197],[122],[123],[129],[134],[135],[1358],[1359],[136],[1360],[1361],[1362],[1363],[1364],[1372],[152],[155],[157],[1586],[159],[1592],[1593],[1594],[1595],[1596],[1597],[1598],[1599],[162],[1631],[1632],[1633],[1634],[1635],[1636],[1637],[1638],[1639],[1642],[1644],[1645],[1646],[1647],[166],[169],[1691],[1721],[1722],[173],[174],[176],[1775],[1782],[1783],[1796],[181],[1827],[1830],[1833],[1837],[1838],[1839],[1847],[189],[1890],[1891],[1907],[1908],[1910],[1911],[1914],[1915],[1976],[198],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1992],[20],[201],[21],[238],[31],[34],[36],[365],[366],[373],[382],[384],[390],[392],[43],[54],[58],[603],[605],[606],[607],[608],[609],[610],[647],[648],[71],[741],[742],[746],[748],[752],[755],[757],[761],[767],[772],[773],[783],[784],[79],[792],[794],[811],[815],[82],[825],[83],[832],[833],[839],[841],[843],[848],[855],[862],[866],[867],[873],[876],[881],[895],[898],[900],[907],[909],[910],[911],[913],[923],[924],[938],[940],[949],[950],[952],[953],[954],[955],[974],[975],[976],[978],[984],[986],[987],[988],[989],[990],[991],[993],[994]
11468,Cond. OK,"Camino válido #1: Activando C1105=1000, C608=1000, Vx010599=111, Vx010042=2...",Cumple Condición,,2,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11469,Cond. OK,"Camino válido #2: Activando C1105=1000, C608=1000, Vx010599=115, Vx010042=2...",Cumple Condición,,2,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11470,Cond. OK,"Camino válido #3: Activando C1105=1000, C610=1000, Vx010599=111, Vx010042=2...",Cumple Condición,,2,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11471,Cond. OK,"Camino válido #4: Activando C1105=1000, C610=1000, Vx010599=115, Vx010042=2...",Cumple Condición,,2,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11472,Cond. OK,"Camino válido #5: Activando C1105=1000, C136=1000, Vx010599=111, Vx010042=2...",Cumple Condición,,2,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11473,Cond. OK,"Camino válido #6: Activando C1105=1000, C136=1000, Vx010599=115, Vx010042=2...",Cumple Condición,,2,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11474,Cond. NK,Fallo forzado en Bloque #1 (Trigger: C1105),No cumple Condición,,2,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11475,Cond. NK,"Fallo forzado en Bloque #2 (Trigger: C608, C610, C136)",No cumple Condición,,2,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11476,Cond. NK,Fallo forzado en Bloque #3 (Trigger: Vx010599),No cumple Condición,,2,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11477,Cond. NK,Fallo forzado en Bloque #4 (Trigger: Vx010042),No cumple Condición,,1,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
