Numero de caso|Tipo de caso|Datos de prueba|Resultado
11468|Cond. OK|[1105]=1000; [608]=1000; Vx42=2; Vx599=111;|Cumple Condición
11469|Cond. OK|[1105]=1000; [608]=1000; Vx42=2; Vx599=115;|Cumple Condición
11470|Cond. OK|[1105]=1000; [610]=1000; Vx42=2; Vx599=111;|Cumple Condición
11471|Cond. OK|[1105]=1000; [610]=1000; Vx42=2; Vx599=115;|Cumple Condición
11472|Cond. OK|[1105]=1000; [136]=1000; Vx42=2; Vx599=111;|Cumple Condición
11473|Cond. OK|[1105]=1000; [136]=1000; Vx42=2; Vx599=115;|Cumple Condición
11474|Cond. NK|[608]=1000; Vx42=2; Vx599=111;|No cumple Condición
11475|Cond. NK|[1105]=1000; Vx42=2; Vx599=111;|No cumple Condición
11476|Cond. NK|[1105]=1000; [608]=1000; Vx42=2; Vx599=116;|No cumple Condición
11477|Cond. NK|[1105]=1000; [608]=1000; Vx42=1; Vx599=111;|No cumple Condición
11478|ALFA|[1105]=1000; [608]=1000; Vx3682=100; Vx3710=100; Vx42=2; Vx599=111;|200
11479|BETA|[1105]=1000; [608]=1000; Vx3738=100; Vx42=2; Vx599=111;|100
11480|GAMMA|[1105]=1000; [608]=1000; Vx4086=100; Vx42=2; Vx599=111;|100
11481|EPSILON|[1105]=1000; [608]=1000; Vx42=2; Vx53=1000; Vx599=111;|1
11482|EPSILON|[1105]=1000; [608]=1000; Vx42=2; Vx599=111;|0
11483|EPSILON|[1105]=1000; [608]=1000; Vx42=2; Vx599=111;|0
11484|MI|[1105]=1000; [608]=1000; Vx42=2; Vx4684=10001; Vx599=111;|1
11485|MI|[1105]=1000; [608]=1000; Vx145=10001; Vx42=2; Vx599=111;|1
11486|MI|[1105]=1000; [608]=1000; Vx42=2; Vx599=111; Vx59=10001;|1
11487|MI|[1105]=1000; [608]=1000; Vx146=10001; Vx42=2; Vx599=111;|1
11488|MI|[1105]=1000; [608]=1000; Vx358=10001; Vx42=2; Vx599=111;|1
11489|MI|[1105]=1000; [608]=1000; Vx42=2; Vx599=111; Vx88=10001;|1
11490|MI|[1105]=1000; [608]=1000; Vx1930=10001; Vx42=2; Vx599=111;|1
11491|MI|[1105]=1000; [608]=1000; Vx1931=10001; Vx42=2; Vx599=111;|1
11492|MI|[1105]=1000; [608]=1000; Vx2832=10001; Vx42=2; Vx599=111;|1
11493|MI|[1105]=1000; [608]=1000; Vx2833=10001; Vx42=2; Vx599=111;|1
11494|MI|[1105]=1000; [608]=1000; Vx2946=10001; Vx42=2; Vx599=111;|1
11495|MI|[1105]=1000; [608]=1000; Vx2947=10001; Vx42=2; Vx599=111;|1
11496|MI|[1105]=1000; [608]=1000; Vx2948=10001; Vx42=2; Vx599=111;|1
11497|MI|[1105]=1000; [608]=1000; Vx2949=10001; Vx42=2; Vx599=111;|1
11498|MI|[1105]=1000; [608]=1000; Vx2836=10001; Vx42=2; Vx599=111;|1
11499|MI|[1105]=1000; [608]=1000; Vx2837=10001; Vx42=2; Vx599=111;|1
11500|MI|[1105]=1000; [608]=1000; Vx3663=10001; Vx42=2; Vx599=111;|1
11501|MI|[1105]=1000; [608]=1000; Vx3664=10001; Vx42=2; Vx599=111;|1
11502|MI|[1105]=1000; [608]=1000; Vx3665=10001; Vx42=2; Vx599=111;|1
11503|MI|[1105]=1000; [608]=1000; Vx3666=10001; Vx42=2; Vx599=111;|1
11504|MI|[1105]=1000; [608]=1000; Vx3719=10001; Vx42=2; Vx599=111;|1
11505|MI|[1105]=1000; [608]=1000; Vx3720=10001; Vx42=2; Vx599=111;|1
11506|MI|[1105]=1000; [608]=1000; Vx3721=10001; Vx42=2; Vx599=111;|1
11507|MI|[1105]=1000; [608]=1000; Vx3722=10001; Vx42=2; Vx599=111;|1
11508|MI|[1105]=1000; [608]=1000; Vx42=2; Vx599=111;|0
